,is_fraud
915033,0
349891,0
1091217,0
180024,0
211107,0
164973,0
367355,0
558338,0
751717,0
1238344,0
1018494,0
830757,0
622261,0
90346,0
1293642,0
814428,0
446349,0
214169,0
50599,0
507811,0
53411,0
1208512,0
510192,0
292694,0
929385,0
896781,0
347425,0
1072950,0
408025,0
104394,0
398512,0
1265946,0
1186183,0
1085569,0
810636,0
798628,0
621578,0
1068065,0
1183583,0
99798,0
988446,0
1053313,0
983511,0
27467,0
972543,0
978280,0
1176663,0
398684,0
1096945,0
1244804,0
36528,0
319072,0
592105,0
1042462,0
802781,0
400468,0
1294541,0
381867,0
113237,0
8676,0
255370,0
1195351,0
1209434,0
405319,0
417784,0
691702,0
290590,0
198264,0
279141,0
316359,0
1135287,0
23226,0
912093,0
400054,0
893122,0
803532,0
792832,0
237897,0
835617,0
676438,0
274651,0
165472,0
10945,0
189404,0
131773,0
660782,0
66196,0
518009,0
753998,0
1164761,0
1228333,0
735430,0
1152746,0
392344,0
875965,0
102127,0
1152352,0
35117,0
118503,0
620346,0
143306,0
460485,0
941784,0
651483,0
63260,0
728952,0
585789,0
1024358,0
131997,0
162181,0
264546,0
301798,0
1090996,0
223496,0
639155,0
5149,0
699246,0
1257090,0
801432,0
792072,0
170622,0
200088,0
946057,0
602676,0
234879,0
429900,0
955604,0
303959,0
1108542,0
813910,0
512753,0
670509,0
490308,0
1275301,0
422704,0
1232279,0
1060947,0
90612,0
187003,0
583757,0
597155,0
149668,0
1153116,0
933090,0
580126,0
1249320,0
499742,0
908094,0
83433,0
600571,0
705815,0
672668,0
280563,0
1151908,0
1243741,0
352784,0
129883,0
709306,0
1154189,0
614475,0
375098,0
958282,0
1042672,0
617816,0
1014719,0
483032,0
1267832,0
792368,0
438446,0
835621,0
653014,0
317085,0
1174806,0
1049623,0
139682,0
1161237,0
565199,0
833807,0
130328,0
784721,0
683725,0
1294197,0
1020983,0
195035,0
1154122,0
841216,0
1260819,0
875082,0
1162169,0
445062,0
330425,0
1209677,0
1157572,0
1021178,0
297759,0
367821,0
858058,0
37943,0
1099533,0
466351,0
588701,0
946347,0
51706,0
250909,0
272758,0
857930,0
625207,0
115182,0
850149,0
670987,0
93469,0
951374,0
11647,0
793522,0
416711,0
1175630,0
56026,0
198016,0
1040868,0
629780,0
1270667,0
1150777,0
590802,0
1123278,0
166097,0
912468,0
391718,0
1141908,0
713573,0
1244299,0
623273,0
97891,0
1095963,0
119013,0
437952,0
189381,0
233529,0
211663,0
443234,0
63413,0
684569,0
200074,0
40371,0
1274207,0
1131849,0
816627,0
1181220,0
80160,0
1273227,0
726511,0
197829,0
1237547,0
478889,0
790531,0
1183345,0
984976,0
652273,0
354049,0
1184059,0
499293,0
392004,0
1011184,0
141051,0
460230,0
861458,0
365883,0
270807,0
431963,0
1254233,0
32613,0
156301,0
604921,0
980369,0
1056780,0
729788,0
92372,0
71829,0
87540,0
359637,0
162336,0
347534,0
1279393,0
439261,0
701488,0
398589,0
1198067,0
1054629,0
292719,0
338682,0
1135021,0
549276,0
102465,0
557097,0
872680,0
1147128,0
511125,0
615378,0
770485,0
503756,0
868901,0
1096145,0
950257,0
625040,0
377865,0
123891,0
466820,0
360579,0
323172,0
37573,0
64551,0
782801,0
613821,0
532269,0
1011016,0
1202805,0
748719,0
388842,0
1224288,0
544212,0
216707,0
1093434,0
824303,0
868603,0
419881,0
908636,0
677003,0
750767,0
681798,0
1102643,0
332746,0
724545,0
207459,0
907135,0
505947,0
1213372,0
595184,0
888519,0
169995,0
683259,0
865041,0
22422,0
296248,0
1278329,0
148646,0
1239629,0
217308,0
862646,0
558045,0
698445,0
606118,0
1232702,0
940952,0
1231500,0
437876,0
662540,0
1058653,0
619373,0
241678,0
123287,0
483161,0
652821,0
414908,0
1116381,0
560177,0
276626,0
26268,0
1107029,0
347925,0
454103,0
28936,0
328847,0
293685,0
1162239,0
1110405,0
435922,0
990862,0
649778,0
149693,0
360397,0
352366,0
345501,0
929018,0
1218360,0
720625,0
629014,0
564798,0
558735,0
346011,0
332142,0
175718,0
911712,0
1283550,0
1086261,0
1105917,0
16970,1
1055301,0
31238,0
622333,0
1266124,0
598960,0
856135,0
58207,0
179208,0
287556,0
998670,0
830623,0
1013407,0
308115,0
1266129,0
856900,0
166466,0
660771,0
444641,0
85787,0
221240,0
930416,0
969137,0
1276991,0
603987,0
1142229,0
703194,0
558969,0
491010,0
277325,0
685609,0
309827,0
453989,0
1254151,0
785722,0
630730,0
1088209,0
632519,0
1062133,0
175393,0
740145,0
332789,0
200980,0
288094,0
78993,0
1225802,0
1033282,0
1113196,0
669666,0
12305,0
401966,0
168809,0
809578,0
180788,0
97901,0
403186,0
468710,0
539581,0
1067865,0
718955,0
819030,0
1089378,0
702477,0
478703,0
139468,1
575275,0
1143468,0
1057310,0
1058713,0
420729,0
909751,0
1084428,0
251600,0
504276,0
931914,0
1288765,0
1227072,0
638682,0
436461,0
151729,0
79464,0
1249779,0
765408,0
67685,0
838503,0
9793,0
1129902,0
359738,0
1128185,0
1128799,0
333283,0
315588,0
246945,0
149680,0
1154428,0
575054,0
556595,0
257560,0
113692,0
957528,0
614294,0
1040412,0
34561,0
767086,0
63716,0
1141568,0
57437,0
564157,0
424290,0
503939,0
790855,0
782476,0
743930,0
987532,0
281184,0
443151,0
492349,0
1154759,0
556171,0
665295,0
563873,0
96873,0
1243210,0
18743,0
816432,0
587018,0
429746,0
1070391,0
924326,0
1284373,0
551145,0
280702,0
834067,0
821684,0
552577,0
937016,0
448452,0
365174,0
1251643,0
902244,0
725847,0
357960,0
626219,0
1233217,0
377894,0
613655,0
1107504,0
1053001,0
532538,0
1201413,0
832666,0
707637,0
827360,0
1025164,0
660689,0
620781,0
851270,0
688550,0
723513,0
851207,0
831915,0
1082597,0
824077,0
514334,0
762649,0
1255786,0
68932,0
441896,0
548205,0
524388,0
227440,0
417306,0
1177637,0
873328,0
4766,0
1272906,0
863805,0
752556,0
454269,0
713565,0
1060530,0
308670,0
520599,0
607696,0
552964,0
256111,0
699699,0
362879,0
27413,0
575421,0
826284,0
750847,0
914102,0
368379,0
1262072,0
453338,0
1216540,0
73026,0
6830,0
558882,0
425358,0
345925,0
292925,0
984950,0
541421,0
59565,0
927410,0
463556,0
526144,0
955630,0
342258,0
290623,0
307264,0
1050535,0
449017,0
883488,0
106958,0
362671,0
525664,0
652290,0
1139808,0
1069834,0
853838,0
998675,0
792233,0
281950,0
43136,0
601663,0
1275850,0
204298,0
128018,0
593300,0
895835,0
835703,0
618802,0
1005982,0
167284,0
1266244,0
440323,0
356783,0
103614,0
672534,0
994918,0
1064758,0
419866,0
854186,0
528790,0
738090,0
303830,0
1113706,0
408118,0
1040177,0
525683,0
1163137,0
380074,0
493061,0
1000338,0
1076887,0
108431,0
1100505,0
1127926,0
517330,0
753796,0
919180,0
1225319,0
622400,0
255166,0
168728,0
430665,0
893370,1
31608,0
67807,0
1184892,0
573969,0
841389,0
119227,0
657129,0
1166365,0
751398,0
1188099,0
60077,0
144689,0
973506,0
335637,0
488024,0
468856,0
456234,0
394019,0
732763,0
214260,0
595231,0
20161,0
278906,0
1002380,0
43930,0
933359,0
956516,0
203067,0
521472,0
411280,0
140755,0
37949,0
1157500,0
737501,0
263037,0
482970,0
1263259,0
91640,0
1027254,0
563035,0
95556,0
385934,0
1163907,0
341626,0
150017,0
922797,0
257709,0
602960,0
71861,0
948900,0
475980,0
850621,0
1110137,0
718635,0
586749,0
1253193,0
316292,0
1113652,0
1292672,0
99637,0
1071736,0
662228,0
1279925,0
1031900,0
1014269,0
893632,0
1238534,0
768503,0
962751,0
974428,0
1285523,0
1050669,0
444001,0
588846,0
1059631,0
86809,0
1250665,0
184624,0
689888,0
103439,0
771924,0
728309,0
73286,1
676234,0
194490,0
1120744,0
895552,0
734399,0
962805,0
362233,0
1279134,0
686586,0
931539,0
2621,0
587893,0
624071,0
1104711,0
32923,0
82713,0
43238,0
929396,0
1290781,0
50623,0
163096,0
179114,0
497146,0
643610,0
900776,0
589627,0
1000772,0
154245,0
669821,0
1250011,0
382394,0
331150,1
1151946,0
1120972,0
1089653,0
529272,0
573067,0
1130323,0
1282732,0
1166683,0
349877,0
791806,0
78876,0
1000277,0
213287,0
183824,0
656875,0
1057126,0
81776,0
647443,0
164816,0
521497,0
492459,0
766912,0
292023,0
562259,0
313340,0
828721,0
393570,0
1076267,0
1061288,0
889011,0
898197,0
643931,0
13849,0
672306,0
1171303,0
875522,0
312565,0
376657,0
920710,0
390404,0
112542,0
490972,0
770084,0
116311,0
1242203,0
466475,0
348398,0
863483,0
271317,0
169459,0
189844,0
1284152,0
457290,0
405375,0
931759,0
834371,0
381496,0
168912,0
337463,0
666280,0
534928,0
1141077,0
101570,0
504383,0
489794,0
252325,0
159713,0
739093,0
577796,0
529818,0
221283,0
558069,0
905902,0
7856,0
1135378,0
1213126,0
402508,0
585390,0
7902,0
1200272,0
1017917,0
1175017,0
866673,0
1219873,0
135914,0
898571,0
560579,0
1238528,0
904656,0
373237,0
313713,0
111923,0
674172,0
253793,0
158935,0
1255006,0
496679,0
657583,0
561267,0
