,is_fraud
277996,0
1281520,0
793753,0
256939,0
1154357,0
1020354,0
95433,0
593842,0
397407,0
739056,0
18285,0
325590,0
479700,0
528533,0
38397,0
864641,0
1098865,0
785343,0
54290,0
765007,0
1087517,0
492442,0
24195,0
660963,0
1190052,0
72341,0
901078,0
613632,0
244835,0
738067,0
803275,0
1247655,0
546442,0
1176962,0
14662,0
99932,0
192361,0
1261327,0
960470,0
711096,0
739752,0
974858,0
560378,0
548972,0
935667,0
1051803,0
185964,0
258578,0
647055,0
330956,0
256258,0
454180,0
462420,0
586798,0
939284,0
526614,0
861437,0
111265,0
415989,0
266768,0
455937,0
666812,0
749469,0
471743,0
1012651,0
111372,0
671364,0
769285,0
1271376,0
1285522,0
172486,0
1275719,0
504250,0
758672,0
388145,0
968861,0
792957,0
336537,0
941649,0
899643,0
818296,0
366248,0
281796,0
905480,0
60706,0
1134796,1
415934,0
637218,0
521835,0
1219636,0
1038854,0
742851,0
329298,0
1241223,0
806190,0
479775,0
415431,0
513454,0
657780,0
1265762,0
808401,0
800457,0
1060086,0
1285731,0
37261,0
894360,0
440669,0
1275482,0
454278,0
580348,0
31069,0
248414,0
846164,0
259529,0
632088,0
31718,0
1220729,0
1070827,1
1128918,0
690731,0
1044085,0
849700,0
71805,0
742010,0
1038997,0
860147,0
1106426,0
928111,0
672533,0
146910,0
140474,0
739946,0
317911,0
374457,0
5782,0
1177252,0
481533,0
884466,0
287064,0
196842,0
232567,0
494840,0
1044182,0
661719,0
749591,0
479796,0
842229,0
692080,0
1203100,0
930677,0
598447,0
381976,0
752600,0
1047990,0
454072,0
573531,0
388226,0
984057,0
132276,0
403048,0
741819,0
1249929,0
687471,0
746303,0
115659,0
855944,0
6073,0
1287222,0
305271,0
251142,0
790544,0
491889,0
133229,0
289514,0
1170477,0
1177702,0
696845,0
284701,0
4420,0
1137038,0
648356,0
622590,0
1240144,0
1227006,1
242621,0
158480,0
1289824,0
324374,0
1269674,0
341948,0
1000527,0
1226542,0
999917,0
1223135,0
1208112,0
350837,0
1073898,0
126777,0
301214,0
1121307,0
362770,0
1152547,0
438575,0
1190991,0
791658,0
1141805,0
416867,0
725917,0
23150,0
59865,0
223452,0
970188,0
593895,0
255799,0
155394,0
1219844,0
27850,0
207652,0
861733,0
168437,0
640425,0
21805,0
44932,0
1117157,0
845593,0
1059178,0
959329,0
1108974,0
695993,0
970189,0
386988,0
59902,0
1024506,0
296584,0
630842,0
1232807,0
198657,0
506903,0
1024186,0
965170,0
476128,0
618427,0
614915,0
1007995,0
1282770,0
514161,0
201670,0
962826,0
229138,0
588156,0
336245,0
493920,0
747786,0
99421,0
247492,0
300455,0
992875,0
21249,0
1236471,0
640463,0
467671,0
729373,0
170855,0
1207898,0
103648,0
188869,0
685252,0
910917,0
1148778,0
539354,0
1123312,0
1202958,0
1029532,0
117876,0
109498,0
153964,0
918259,0
343132,0
708571,0
1016432,0
858858,0
488631,0
70622,0
952145,0
990708,0
364220,0
965775,0
1070691,0
416256,0
900438,0
975065,0
1043279,0
289213,0
504325,0
1012873,0
488687,0
1135996,0
423853,0
1080927,0
752398,0
202371,0
506445,0
1157453,0
479146,0
312517,0
878998,0
422522,0
1049463,0
436036,0
667101,0
30462,0
921230,0
205614,0
581642,0
656116,0
647181,0
273261,0
728035,0
17313,0
593962,0
130882,0
948578,0
436808,0
580488,0
535767,0
62656,0
500361,0
815934,0
597378,1
202117,0
449011,0
561191,0
1145452,0
636556,0
544591,0
16260,0
596092,0
152403,0
637572,0
834364,0
862724,0
719033,0
1098927,0
204129,0
1186192,0
1192462,0
937810,0
1141607,0
808502,0
689926,0
506410,0
191035,0
79844,0
1186861,0
1268050,0
1105777,0
393904,0
1151696,0
890137,0
1255098,0
1141217,0
17719,0
1002096,0
354397,0
970130,0
997881,0
236714,0
71053,0
507042,0
1246535,0
778018,0
202607,0
1142164,0
1280917,0
346076,0
1116729,0
951886,0
1095163,0
781772,0
877132,0
759508,0
806805,0
423528,0
1162807,0
745923,0
830323,0
566364,0
430374,0
537936,0
73019,0
1075831,0
2581,0
299282,0
822034,0
246700,0
438249,0
1255078,0
299849,0
670923,0
509548,0
839108,0
234145,0
65617,0
988297,0
565001,0
490577,0
1238000,0
605654,0
441983,0
639686,0
618602,0
170670,0
1097957,0
666486,0
1163008,0
1296388,0
23760,0
576680,0
1133372,0
774034,0
1177260,0
577008,0
132331,0
528484,0
708394,0
100897,0
636558,0
673407,0
347867,0
1095327,0
615967,0
621207,0
289534,0
458948,0
1258396,0
1074923,0
1128078,0
495777,0
784429,0
148162,0
1014147,0
435628,0
378280,0
1255567,0
158264,0
385068,0
1102444,0
1097236,0
564698,0
287450,0
679946,0
983668,0
423238,0
227954,0
674329,0
580432,0
873302,0
622473,0
125939,0
1162421,0
1060975,0
725178,0
192677,0
760184,0
504427,0
464131,0
550474,0
484974,0
291377,0
144242,0
679829,0
348134,0
336675,0
186534,0
934004,0
145655,0
1226779,0
235818,0
601914,0
947582,0
385788,0
1031441,0
233990,0
1034077,0
1254676,0
740969,0
1025734,0
1174508,0
425466,0
769743,0
382512,0
1216052,0
139267,0
1127972,0
724850,0
1248386,0
286727,0
166886,0
734611,0
175553,0
162324,0
238909,0
1199727,0
499767,0
90185,0
1041833,0
1117381,0
944321,0
51430,0
575587,0
9192,0
1220437,0
1054479,0
1234690,0
828432,0
561879,0
1124987,0
79630,0
1146096,0
495097,0
1292209,0
869300,0
44833,0
809132,0
1048570,0
463517,0
354286,0
412000,0
41274,0
210095,0
43873,0
654868,0
373860,0
1062882,0
903727,0
278225,0
35878,0
228247,0
816334,0
952489,0
982422,0
170194,0
762488,0
524826,0
953818,0
669597,0
571992,0
567462,0
874665,0
497631,0
341147,0
280606,0
163710,0
433572,0
692644,0
38361,0
378232,0
523501,0
512063,0
938201,0
803715,0
485641,0
732085,0
1223414,0
1243718,0
24905,0
805341,0
1144332,0
780841,0
233614,0
832962,0
1117002,0
543959,0
549691,0
612480,0
1184657,0
1267448,0
984767,0
259431,0
438208,0
634853,0
1006744,0
724554,0
125902,0
1206937,0
309887,0
341749,0
293625,0
336132,0
358783,0
928861,0
809431,0
282754,0
1238418,0
809910,0
381199,0
679904,0
570983,0
32231,0
4841,0
828777,0
1139581,0
909380,0
892040,0
253929,0
1139121,0
947238,0
135594,0
72669,0
548544,0
1282190,0
1010262,0
1148323,0
100629,0
1205136,0
1169051,0
583400,0
344891,0
298261,0
682073,0
934271,0
844845,0
1043845,0
315891,0
300555,0
1027120,0
1010394,0
427591,0
152173,0
559694,0
62643,0
633049,0
371522,0
1278192,0
118757,0
1133936,0
926614,0
1109143,0
1269142,0
1148368,0
356240,0
1236270,0
581582,0
643207,0
381337,0
674489,0
908390,0
162434,0
579207,0
197896,0
193627,0
954819,0
24065,0
846055,0
551205,0
1048831,0
382920,0
1159060,0
228483,0
621080,0
278183,0
946139,0
1234052,0
1295234,0
99809,0
747950,0
964972,0
630582,0
607021,0
498065,0
151532,0
450619,0
1260522,0
1103170,0
412160,0
1239196,0
1223685,0
526820,0
1292645,0
1125961,0
150069,0
1073217,0
422783,0
723169,0
671811,0
602071,0
658039,0
1041791,0
225595,0
122494,0
334909,0
222300,0
508539,0
1021159,0
1095613,0
1009722,0
76660,1
583128,0
1100980,0
976540,0
1296062,0
918834,0
515742,0
592444,0
584669,0
711752,0
602251,0
139049,0
120133,0
653606,0
1112938,0
425066,0
15152,0
260486,0
1217242,0
728277,0
738817,0
1167996,1
79961,0
1272948,0
1076450,0
506728,0
970477,0
956353,0
787136,0
150858,0
348451,0
968491,0
1147743,0
220521,0
698121,0
856119,0
783352,0
216134,0
958488,0
1023886,0
628436,0
132115,0
1292072,0
19073,0
557362,0
769794,0
895801,0
64049,1
1074655,0
1204702,0
830164,0
1111452,0
399941,0
36067,0
865763,0
277820,0
1237952,0
211980,0
144794,0
44210,0
588068,0
79954,0
847138,0
133832,0
206929,0
249061,0
167239,0
410036,0
772347,0
628765,0
388408,0
692905,0
386636,0
828101,0
940592,0
823451,0
287203,0
195285,0
893140,0
208190,0
327338,0
557032,0
88696,0
1072006,0
990569,0
249697,0
807955,0
487098,0
524412,0
442043,0
1088254,0
1290388,0
692547,0
832649,0
22064,0
655940,0
414960,0
162045,0
895670,0
1007224,0
1021842,0
1073869,0
294494,0
299815,0
916929,0
781303,0
52739,0
137698,0
732075,0
403372,0
1119002,0
381330,0
1231277,0
830051,0
979720,0
946952,0
911368,0
654658,0
1171151,0
149623,0
731547,0
248927,0
613706,0
956573,0
469185,0
1031617,0
450320,0
84943,0
856896,0
764262,0
796963,0
808138,0
9908,0
879523,0
752447,0
88773,0
107173,0
925267,0
827891,0
880794,0
94298,0
1175241,0
423193,0
1124393,0
674893,0
912275,0
133287,0
839139,0
611688,0
151934,0
1168916,0
351970,0
978313,0
616831,0
926404,0
972150,0
636378,0
1201518,0
1006175,0
1264733,0
463297,0
496238,0
27562,0
782338,0
693918,0
134873,0
1245907,0
326476,0
319630,0
260540,0
456127,0
898497,0
1136781,0
742152,0
589049,0
237529,0
662015,0
382331,0
998690,0
145753,0
886432,0
734297,0
341226,0
1164867,0
1261871,0
794204,0
131602,0
1114613,0
1277712,0
314431,0
842931,0
818882,0
738284,0
760708,0
571857,0
1050192,0
467386,0
1198023,0
1289704,0
1247494,0
477207,0
1196108,0
659005,0
